"file","date","display_name","url","identity","canonical"
"2020-09-07-2020-37.md","2020-09-07","Colin Fay","https://twitter.com/_ColinFay","twitter:_colinfay","Colin Fay"
"2020-09-21-2020-38.md","2020-09-21","Jon Calder","https://twitter.com/jonmcalder","twitter:jonmcalder","Jon Calder"
"2020-09-28-2020-39.md","2020-09-28","Maëlle Salmon","https://twitter.com/ma_salmon","twitter:ma_salmon","Maëlle Salmon"
"2020-10-05-2020-40.md","2020-10-05","Jonathan Carroll","https://twitter.com/carroll_jono","twitter:carroll_jono","Jonathan Carroll"
"2020-10-12-2020-41.md","2020-10-12","Eric Nantz","https://twitter.com/theRcast","twitter:thercast","Eric Nantz"
"2020-10-19-2020-42.md","2020-10-19","Ryo Nakagawara","https://twitter.com/R_by_Ryo","twitter:r_by_ryo","Ryo Nakagawara"
"2020-10-26-2020-43.md","2020-10-26","Miles McBain","https://twitter.com/milesmcbain","twitter:milesmcbain","Miles McBain"
"2020-11-01-2020-44.md","2020-11-01","Tony ElHabr","https://twitter.com/TonyElHabr","twitter:tonyelhabr","Tony ElHabr"
"2020-11-09-2020-45.md","2020-11-09","Robert Hickman","https://twitter.com/robwhickman","twitter:robwhickman","Robert Hickman"
"2020-11-16-2020-46.md","2020-11-16","Colin Fay","https://twitter.com/_ColinFay","twitter:_colinfay","Colin Fay"
"2020-11-23-2020-47.md","2020-11-23","Jon Calder","https://twitter.com/jonmcalder","twitter:jonmcalder","Jon Calder"
"2020-11-30-2020-48.md","2020-11-30","Maëlle Salmon","https://twitter.com/ma_salmon","twitter:ma_salmon","Maëlle Salmon"
"2020-12-07-2020-49.md","2020-12-07","Jonathan Carroll","https://twitter.com/carroll_jono","twitter:carroll_jono","Jonathan Carroll"
